ID,Names
1787,王之望
1788,王靖
1789,王兢
1802,王蕃
1804,王扶
1810,王罕
1828,王益柔
1829,王贻永
1835,王逵
1840,王古
1844,王广渊
1845,王珪
1847,王拱辰
1856,王平
1863,王赏
1865,王韶
1867,王森
1877,王曙
1879,王丝
1880,王嗣宗
1881,王素
1882,王随
1885,王田
1887,王庭老
1889,王谠
1893,王德用
1894,王觌
1895,王鼎
1897,王存
1901,王曾
1903,王鬷
1908,王次翁
1911,王皞
1916,王惟正
1919,王尧臣
1922,王沿
1933,王说
1945,魏瓘
1951,文勋
1953,文彦博
1955,翁挺
1956,翁彦国
1957,吴安持
1959,吴潜
1960,吴充
1963,吴璟
1965,吴居厚
1967,吴中复
1970,吴芾
1977,吴亮
1986,吴遵路
1994,杨察
1997,杨崇勋
2000,杨景略
2003,杨偕
2007,杨绘
2012,杨日严
2015,杨可
2020,杨蟠
2022,杨时
2024,杨覃
2026,杨畋
2029,杨大雅
2033,杨嵎
2036,杨愿
2040,姚铉
2045,叶清臣
2054,叶梦得
2068,阎询
2072,晏知止
2073,晏殊
2081,游师雄
2082,俞充
2087,俞献卿
2090,鱼周询
2100,宇文昌龄
2112,元绛
2119,闾邱孝直
2120,周师厚
2123,石扬休
2124,宋迪
2133,王临
3009,常溥
3012,晁迥
3013,晁仲参
3015,晁遘
3021,晁宗简
3022,晁端仁
3023,晁端礼
3024,晁端本
3025,晁端友
3028,晁咏之
3029,晁说之
3030,戚师道
3033,钱象祖
3034,钱晦
3037,钱俶
3043,秦观
3046,陈安仁
3047,陈安定
3049,陈光现
3050,陈长方
3051,陈琪
3053,陈知和
3054,陈之祥
3055,陈执古
3056,陈执礼
3057,陈知默
3058,陈之元
3075,陈亮
3081,陈师道
3083,陈省华
3094,陈渊
3099,程珫
3100,程浚
3102,程颢
3103,程珦
3105,程颐
3107,程嗣弼
3117,詹良臣
3144,张孝祥
3150,张奎
3153,张氏(赵祯妃)
3161,张思
3173,张尧卿
3174,张彦直
3180,张蕴
3186,章蒙
3189,章縡
3201,赵况
3206,赵世瑞
3207,赵师民
3209,赵世恩
3213,赵子崧
3219,贾注
3240,周之美
3243,周孝恭
3244,周行己
3250,周彦先
3256,朱服
3257,朱熹
3258,朱翌
3264,朱述
3266,朱延之
3271,范世德
3275,范纯诚
3279,范镇
3280,范贻孙
3283,范百嘉
3287,范遵道
3294,方逢辰
3306,傅珏
3307,傅立
3314,冯山
3319,韩珫
3320,韩治
3321,韩直彦
3325,韩公彦
3328,韩宗厚
3333,郝戭
3339,何君平
3343,侯正臣
3351,向经
3356,向纮
3359,向子韶
3364,萧服
3368,鲜于绰
3369,辛有终
3374,胥元衡
3380,徐师回
3388,薛季卿
3391,薛嗣昌
3394,胡安国
3402,胡寅
3404,胡瑗
3411,黄中美
3414,黄孝绰
3415,黄孝先
3427,任之奇
3428,任拱之
3438,孔武仲
3439,孔文仲
3441,高琼
3442,高继勋
3444,高铣
3447,高本
3448,高士庆
3458,郭源明
3461,葛宫
3465,葛惟明
3466,耿傅
3481,李继隆
3483,李建中
3484,李之仪
3487,李周南
3489,李撰
3500,李相如
3502,李孝先
3505,李虚舟
3509,李汉臣
3510,李夔
3512,李诰
3513,李觏
3517,李吕
3528,李淑
3537,李遵勖
3541,李宗谔
3543,李端懿
3549,李宥
3554,李余庆
3556,梁蒨
3565,梁彦深
3568,林积
3579,刘安正
3580,刘敞
3583,刘跂
3590,刘震
3594,刘一止
3595,刘克庄
3597,刘拱
3618,楼异
3623,楼郁
3624,楼钥
3627,鲁宗颜
3632,陆九渊
3634,陆轸
3640,陆游
3649,吕夏卿
3668,马随
3672,毛滂
3674,毛友
3675,梅正臣
3676,米芾
3687,欧阳郴
3689,欧阳晔
3700,庞元鲁
3706,蒲师道
3707,彭汝方
3709,毕从古
3714,上官融
3718,邵雍
3723,施大任
3735,沈立基
3739,盛京
3743,盛遵甫
3744,司马浩
3746,司马沂
3748,司马旦
3752,苏继
3754,苏京
3758,苏携
3760,苏咸熙
3761,苏序
3762,苏洵
3763,苏涣
